Type,CharacterId,Dialogue,,CharacterNum,MCharacter,MCIllust,LCharacter,LCIllust,RCharacter,RCIllust,,AnswerId,LineOffset,FigureId,FigureIdx,PrivisoId,PrivisoIdx,,TriggerObject,OpenDialogue,,Background,EffectSound,BGM
0,S1-4,…,,1,S1-4,0,,,,,,,,,,,,,,,,,,
0,M0,남지혜씨가 집 안에 있어,,2,,,M0,0,M4,0,,,,,,,,,,,,,,
0,M4,여기서 사시는걸까?,,,,,,,,,,,,,,,,,,,,,,
0,M0,"음 정확하게 집은 아닌거 같아 |숙소 느낌이긴한데, 웬만한 필수용품은 다있네",,,,,,,,,,,,,,,,,,,,,,
0,M4,아직 남지혜씨는 현장 조사팀에서 결정한 주요 인물이 아니야,,,,,,,,,,,,,,,,,,,,,,
0,,"현재까진 시신 최초 발견자인 박종우씨, |최정아씨의 목격자인 이세영씨, |남편인 김인우씨가 주요 인물이지",,,,,,,,,,,,,,,,,,,,,,
0,,그래서 지금 프로그램 세팅은 여전히 박종우씨가 시신을 발견하기 직전 상황으로 되어있어 |오늘 수사가 끝나면 현장조사팀에게 부탁해볼게,,,,,,,,,,,,,,,,,,,,,,
0,,그러면 내일 조사에서는 <color=#A69F5E>남지혜씨가 진술한 내용에 따라서 AI와 공간을 세팅해 줄 거야</color>,,,,,,,,,,,,,,,,,,,,,,
0,,"정보는 많을수록 좋아 |최정아씨와 유일하게 친했다면, 조사할 이유는 충분하지 않겠어? |어떤 정보라도 더 얻어야 시뮬레이션이 완벽해질테니",,,,,,,,,,,,,,,,,,,,,,
1,M0,….,,,,,,,,,,A1-3,,,,,,,,,,,,
0,M4,궁극적인 목표는 진실을 밝히고 피해자의 억울함을 없애기 위해서야 |선한 의도로 하는 행위지,,,,,,,,,,,,,,,,,,,,,,
0,,그리고 우리는 절대 이 데이터를 사적인 이유로 쓰지 않아,,,,,,,,,,,,,,,,,,,,,,
0,,그나저나 우리 같은 세대에서 그런 얘기를 듣는건 드문 일이네,,,,,,,,,,,,,,,,,,,,,,
0,M0,Rasa 시스템이 만들어진지는 이제 80년이야 |본격적으로 수사에 쓰이기 시작한 건 더 최근이고,,,,,,,,,,,,,,,,,,,,,,
0,,"상상할 순 없지만, 그 전에 사람들은 이걸 <color=#C8241C>국가의 사생활 침해</color>라고 여겼다고 해",,,,,,,,,,,,,,,,,,,,,,
0,,그래서 아직 노인 세대들에겐 거부감이 있는거겠지,,,,,,,,,,,,,,,,,,,,,,
0,M4,정의를 위한 일이지,,,,,,,,,,,,,,,,,,,,,,
